# METADATA
Start Point X,1.0000
Start Point Y,1.0000
End Point X,9.0000
End Point Y,9.0000
Safety Margin,0.1083
# OBSTACLES
Obstacle_0_X,5.0000
Obstacle_0_Y,5.0000
Obstacle_0_Radius,1.8000
Obstacle_1_X,2.2680
Obstacle_1_Y,7.7386
Obstacle_1_Radius,1.0000
Obstacle_2_X,1.3007
Obstacle_2_Y,5.8039
Obstacle_2_Radius,1.0000
Obstacle_3_X,2.5556
Obstacle_3_Y,4.8497
Obstacle_3_Radius,1.0000
Obstacle_4_X,7.0654
Obstacle_4_Y,4.5359
Obstacle_4_Radius,1.0000
Obstacle_5_X,7.0915
Obstacle_5_Y,2.5098
Obstacle_5_Radius,1.0000
Obstacle_6_X,4.0980
Obstacle_6_Y,1.4379
Obstacle_6_Radius,1.0000
Obstacle_7_X,5.3399
Obstacle_7_Y,7.8170
Obstacle_7_Radius,1.0000

# PATH COORDINATES
Waypoint_Index,X,Y
0,1.0000,1.0000
1,1.2070,1.0827
2,1.4132,1.1656
3,1.6175,1.2486
4,1.8191,1.3321
5,2.0172,1.4159
6,2.2107,1.5004
7,2.3988,1.5855
8,2.5807,1.6714
9,2.7553,1.7582
10,2.9219,1.8460
11,3.0794,1.9350
12,3.2270,2.0252
13,3.3639,2.1167
14,3.4890,2.2098
15,3.6016,2.3044
16,3.7006,2.4007
17,3.7853,2.4989
18,3.8547,2.5990
19,3.9078,2.7011
20,3.9439,2.8053
21,3.9620,2.9118
22,3.9611,3.0207
23,3.9405,3.1321
24,3.8992,3.2461
25,3.8363,3.3629
26,3.7509,3.4824
27,3.6421,3.6049
28,3.5432,3.7087
29,3.4527,3.8206
30,3.4305,3.8345
31,3.3527,3.9617
32,3.2374,4.1719
33,3.1721,4.3158
34,3.1401,4.4217
35,3.1110,4.5412
36,3.0817,4.6793
37,3.0610,4.8203
38,3.0531,4.9569
39,3.0557,5.0919
40,3.0673,5.2278
41,3.0878,5.3634
42,3.1179,5.4971
43,3.1575,5.6280
44,3.2062,5.7557
45,3.2637,5.8798
46,3.3298,5.9996
47,3.4041,6.1144
48,3.4863,6.2238
49,3.5760,6.3270
50,3.6727,6.4238
51,3.7760,6.5135
52,3.8853,6.5957
53,4.0001,6.6700
54,4.1199,6.7361
55,4.2440,6.7937
56,4.3718,6.8423
57,4.5027,6.8819
58,4.6361,6.9122
59,4.7713,6.9330
60,4.9076,6.9443
61,5.0444,6.9460
62,5.1810,6.9380
63,5.3166,6.9206
64,5.4508,6.8937
65,5.5826,6.8572
66,5.7115,6.8113
67,5.8370,6.7571
68,5.9588,6.6956
69,6.0754,6.6243
70,6.1856,6.5402
71,6.2901,6.4490
72,6.3916,6.3647
73,6.4923,6.2982
74,6.5926,6.2503
75,6.6924,6.2202
76,6.7918,6.2073
77,6.8907,6.2109
78,6.9893,6.2301
79,7.0875,6.2643
80,7.1854,6.3129
81,7.2829,6.3750
82,7.3800,6.4500
83,7.4769,6.5371
84,7.5735,6.6356
85,7.6698,6.7449
86,7.7659,6.8642
87,7.8617,6.9928
88,7.9573,7.1299
89,8.0527,7.2749
90,8.1480,7.4271
91,8.2430,7.5856
92,8.3380,7.7499
93,8.4328,7.9192
94,8.5275,8.0928
95,8.6221,8.2699
96,8.7166,8.4500
97,8.8111,8.6321
98,8.9056,8.8157
99,9.0000,9.0000
