Vehicle_ID,Margin,Time,X,Y,Z
HEAD_A,5.0,0.0,0.0,50.0,10.0
HEAD_A,5.0,0.2,3.96,47.07,10.0
HEAD_A,5.0,0.4,4.85,48.6,10.0
HEAD_A,5.0,0.6,5.32,45.46,10.0
HEAD_A,5.0,0.8,5.32,45.46,10.0
HEAD_A,5.0,1.0,5.29,45.57,8.31
HEAD_A,5.0,1.2,-0.19,48.44,7.36
HEAD_A,5.0,1.4,-5.05,47.27,7.41
HEAD_A,5.0,1.6,-9.91,46.09,7.46
HEAD_A,5.0,1.8,-14.77,44.91,7.51
HEAD_A,5.0,2.0,-19.62,43.73,7.56
HEAD_A,5.0,2.2,-24.48,42.55,7.62
HEAD_A,5.0,2.4,-29.34,41.37,7.67
HEAD_A,5.0,2.6,-34.2,40.2,7.72
HEAD_A,5.0,2.8,-39.06,39.02,7.77
HEAD_A,5.0,3.0,-43.92,37.84,7.82
HEAD_A,5.0,3.2,-48.78,36.66,7.87
HEAD_A,5.0,3.4,-53.64,35.49,7.92
HEAD_A,5.0,3.6,-58.5,34.31,7.97
HEAD_A,5.0,3.8,-63.36,33.13,8.02
HEAD_A,5.0,4.0,-68.22,31.95,8.08
HEAD_A,5.0,4.2,-73.07,30.78,8.13
HEAD_A,5.0,4.4,-77.93,29.6,8.18
HEAD_A,5.0,4.6,-82.79,28.42,8.23
HEAD_A,5.0,4.8,-87.65,27.24,8.28
HEAD_A,5.0,5.0,-90.27,26.61,8.31
HEAD_A,5.0,5.2,-87.0,27.0,9.0
HEAD_A,5.0,5.4,-84.0,27.0,9.0
HEAD_A,5.0,5.6,-81.0,27.0,9.0
HEAD_A,5.0,5.8,-78.0,27.0,9.0
HEAD_A,5.0,6.0,-75.0,27.0,9.0
HEAD_A,5.0,6.2,-72.0,27.0,9.0
HEAD_A,5.0,6.4,-69.0,27.0,9.0
HEAD_A,5.0,6.6,-66.0,27.0,9.0
HEAD_A,5.0,6.8,-63.0,27.0,9.0
HEAD_A,5.0,7.0,-60.0,27.0,9.0
HEAD_A,5.0,7.2,-57.0,27.0,9.0
HEAD_A,5.0,7.4,-54.0,27.0,9.0
HEAD_A,5.0,7.6,-51.0,27.0,9.0
HEAD_A,5.0,7.8,-48.0,27.0,9.0
HEAD_A,5.0,8.0,-45.0,27.0,9.0
HEAD_A,5.0,8.2,-42.0,27.0,9.0
HEAD_A,5.0,8.4,-39.0,27.0,9.0
HEAD_A,5.0,8.6,-36.0,27.0,9.0
HEAD_A,5.0,8.8,-33.0,27.0,9.0
HEAD_A,5.0,9.0,-30.0,27.0,9.0
HEAD_A,5.0,9.2,-27.0,27.0,9.0
HEAD_A,5.0,9.4,-24.0,27.0,9.0
HEAD_A,5.0,9.6,-21.0,27.0,9.0
HEAD_A,5.0,9.8,-21.0,32.0,9.0
HEAD_A,5.0,10.0,-21.0,34.5,9.0
HEAD_A,5.0,10.2,-23.24,38.97,9.0
HEAD_A,5.0,10.4,-24.35,41.21,9.0
HEAD_A,5.0,10.6,-21.0,42.0,9.0
HEAD_A,5.0,10.8,-21.0,47.0,9.0
HEAD_A,5.0,11.0,-21.0,49.5,9.0
HEAD_A,5.0,11.2,-18.0,51.0,9.0
HEAD_A,5.0,11.4,-15.0,51.0,9.0
HEAD_A,5.0,11.6,-12.0,51.0,9.0
HEAD_A,5.0,11.8,-9.0,51.0,9.0
HEAD_A,5.0,12.0,-6.0,51.0,9.0
HEAD_A,5.0,12.2,-3.0,54.0,9.0
HEAD_A,5.0,12.4,0.0,57.0,9.0
HEAD_A,5.0,12.6,3.0,60.0,9.0
HEAD_A,5.0,12.8,6.0,63.0,9.0
HEAD_A,5.0,13.0,9.0,66.0,9.0
HEAD_A,5.0,13.2,12.0,69.0,9.0
HEAD_A,5.0,13.4,15.0,72.0,9.0
HEAD_A,5.0,13.6,18.0,75.0,9.0
HEAD_A,5.0,13.8,21.0,78.0,9.0
HEAD_A,5.0,14.0,24.0,81.0,9.0
HEAD_A,5.0,14.2,27.0,84.0,9.0
HEAD_A,5.0,14.4,30.0,84.0,9.0
HEAD_A,5.0,14.6,33.0,87.0,9.0
HEAD_A,5.0,14.8,36.0,90.0,9.0
HEAD_A,5.0,15.0,39.0,93.0,9.0
