Waypoint,X,Y
0,1.0000,1.0000
1,0.9695,0.7202
2,0.9426,0.4723
3,0.9193,0.2555
4,0.8997,0.0687
5,0.8839,-0.0889
6,0.8717,-0.2184
7,0.8632,-0.3206
8,0.8585,-0.3966
9,0.8575,-0.4472
10,0.8604,-0.4735
11,0.8670,-0.4764
12,0.8774,-0.4567
13,0.8917,-0.4156
14,0.9099,-0.3539
15,0.9319,-0.2726
16,0.9578,-0.1726
17,0.9876,-0.0549
18,1.0214,0.0796
19,1.0591,0.2299
20,1.1008,0.3951
21,1.1465,0.5742
22,1.1961,0.7663
23,1.2498,0.9703
24,1.3076,1.1855
25,1.3694,1.4108
26,1.4353,1.6452
27,1.5053,1.8879
28,1.5794,2.1378
29,1.6576,2.3941
30,1.7400,2.6557
31,1.8266,2.9217
32,1.9174,3.1912
33,2.0124,3.4632
34,2.1116,3.7368
35,2.2151,4.0110
36,2.3229,4.2849
37,2.4349,4.5575
38,2.5513,4.8279
39,2.6719,5.0951
40,2.7969,5.3581
41,2.9263,5.6161
42,3.0601,5.8680
43,3.1983,6.1130
44,3.3408,6.3500
45,3.4879,6.5781
46,3.6394,6.7964
47,3.7953,7.0039
48,3.9558,7.1997
49,4.1208,7.3828
50,4.2903,7.5523
51,4.4641,7.7080
52,4.6417,7.8503
53,4.8228,7.9798
54,5.0068,8.0971
55,5.1934,8.2025
56,5.3819,8.2966
57,5.5721,8.3800
58,5.7635,8.4532
59,5.9555,8.5166
60,6.1477,8.5709
61,6.3398,8.6164
62,6.5311,8.6537
63,6.7214,8.6834
64,6.9101,8.7060
65,7.0967,8.7219
66,7.2809,8.7317
67,7.4621,8.7359
68,7.6399,8.7350
69,7.8139,8.7296
70,7.9836,8.7201
71,8.1486,8.7070
72,8.3084,8.6910
73,8.4625,8.6724
74,8.6105,8.6518
75,8.7519,8.6298
76,8.8863,8.6068
77,9.0133,8.5834
78,9.1323,8.5600
79,9.2430,8.5373
80,9.3448,8.5156
81,9.4374,8.4956
82,9.5202,8.4777
83,9.5928,8.4624
84,9.6548,8.4503
85,9.7057,8.4419
86,9.7451,8.4377
87,9.7725,8.4383
88,9.7874,8.4440
89,9.7894,8.4555
90,9.7780,8.4733
91,9.7529,8.4978
92,9.7134,8.5296
93,9.6593,8.5693
94,9.5900,8.6172
95,9.5051,8.6740
96,9.4040,8.7402
97,9.2865,8.8162
98,9.1520,8.9027
99,9.0000,9.0000
