# METADATA
Start Point X,1.0000
Start Point Y,1.0000
End Point X,9.0000
End Point Y,9.0000
Obstacle Center X,5.0000
Obstacle Center Y,5.9394
Obstacle Radius,1.9939
Safety Margin,0.5000

# PATH COORDINATES
Waypoint_Index,X,Y
0,1.0000,1.0000
1,1.0734,1.0879
2,1.1468,1.1759
3,1.2202,1.2638
4,1.2936,1.3517
5,1.3671,1.4396
6,1.4405,1.5274
7,1.5140,1.6153
8,1.5875,1.7031
9,1.6611,1.7909
10,1.7347,1.8787
11,1.8084,1.9664
12,1.8821,2.0541
13,1.9558,2.1418
14,2.0297,2.2294
15,2.1035,2.3169
16,2.1775,2.4044
17,2.2515,2.4919
18,2.3257,2.5793
19,2.3999,2.6666
20,2.4741,2.7538
21,2.5485,2.8410
22,2.6230,2.9281
23,2.6976,3.0152
24,2.7723,3.1021
25,2.8471,3.1890
26,2.9220,3.2758
27,2.9971,3.3624
28,3.0722,3.4490
29,3.1475,3.5355
30,3.2230,3.6219
31,3.2986,3.7082
32,3.3743,3.7944
33,3.4502,3.8804
34,3.5262,3.9664
35,3.6024,4.0522
36,3.6788,4.1379
37,3.7553,4.2234
38,3.8320,4.3088
39,3.9089,4.3941
40,3.9860,4.4792
41,4.0632,4.5641
42,4.1407,4.6489
43,4.2184,4.7335
44,4.2962,4.8179
45,4.3743,4.9021
46,4.4526,4.9861
47,4.5311,5.0698
48,4.6098,5.1534
49,4.6888,5.2367
50,4.7680,5.3198
51,4.8474,5.4027
52,4.9271,5.4853
53,5.0070,5.5677
54,5.0872,5.6498
55,5.1677,5.7316
56,5.2484,5.8131
57,5.3293,5.8944
58,5.4106,5.9753
59,5.4921,6.0560
60,5.5739,6.1364
61,5.6561,6.2164
62,5.7385,6.2961
63,5.8212,6.3755
64,5.9042,6.4546
65,5.9875,6.5333
66,6.0711,6.6116
67,6.1550,6.6896
68,6.2393,6.7672
69,6.3239,6.8445
70,6.4089,6.9213
71,6.4941,6.9978
72,6.5797,7.0739
73,6.6657,7.1495
74,6.7520,7.2248
75,6.8387,7.2996
76,6.9258,7.3740
77,7.0132,7.4480
78,7.1010,7.5215
79,7.1891,7.5947
80,7.2776,7.6674
81,7.3663,7.7397
82,7.4554,7.8117
83,7.5448,7.8834
84,7.6345,7.9547
85,7.7244,8.0257
86,7.8145,8.0965
87,7.9048,8.1670
88,7.9954,8.2372
89,8.0861,8.3073
90,8.1770,8.3771
91,8.2681,8.4468
92,8.3593,8.5163
93,8.4506,8.5856
94,8.5420,8.6549
95,8.6335,8.7240
96,8.7251,8.7931
97,8.8167,8.8621
98,8.9083,8.9311
99,9.0000,9.0000
