Vehicle_ID,Margin,Time,X,Y,Z
H1,4.0,0.0,55.0,0.0,10.0
H1,4.0,0.2,54.28,2.17,9.28
H1,4.0,0.4,54.0,3.0,9.0
H1,4.0,0.6,54.0,5.4,9.0
H1,4.0,0.8,54.0,6.0,9.0
H1,4.0,1.0,54.0,8.4,9.0
H1,4.0,1.2,54.0,9.0,9.0
H1,4.0,1.4,54.0,11.4,9.0
H1,4.0,1.6,54.0,12.0,9.0
H1,4.0,1.8,54.0,14.4,9.0
H1,4.0,2.0,54.0,15.0,9.0
H1,4.0,2.2,54.0,17.4,9.0
H1,4.0,2.4,54.0,18.0,9.0
H1,4.0,2.6,54.0,20.4,9.0
H1,4.0,2.8,54.0,21.0,9.0
H1,4.0,3.0,54.0,23.4,9.0
H1,4.0,3.2,54.0,24.0,9.0
H1,4.0,3.4,54.0,26.4,9.0
H1,4.0,3.6,54.0,27.0,9.0
H1,4.0,3.8,54.0,29.4,9.0
H1,4.0,4.0,54.0,30.0,9.0
H1,4.0,4.2,54.0,32.4,9.0
H1,4.0,4.4,54.0,33.0,9.0
H1,4.0,4.6,54.0,35.4,9.0
H1,4.0,4.8,54.0,36.0,9.0
H1,4.0,5.0,55.41,37.03,8.86
H1,4.0,5.2,53.61,38.35,8.88
H1,4.0,5.4,52.08,37.98,8.9
H1,4.0,5.6,50.44,37.81,8.92
H1,4.0,5.8,48.82,37.86,8.92
H1,4.0,6.0,47.1,38.15,8.94
H1,4.0,6.2,45.4,38.7,8.95
H1,4.0,6.4,43.8,39.5,8.96
H1,4.0,6.6,42.35,40.5,8.98
H1,4.0,6.8,41.13,41.63,8.98
H1,4.0,7.0,40.17,42.77,8.99
H1,4.0,7.2,39.5,43.79,8.99
H1,4.0,7.4,39.08,44.56,9.0
H1,4.0,7.6,38.84,45.07,9.0
H1,4.0,7.8,38.71,45.37,9.0
H1,4.0,8.0,38.64,45.55,9.0
H1,4.0,8.2,38.6,45.66,9.0
H1,4.0,8.4,38.58,45.72,9.0
H1,4.0,8.6,38.56,45.75,9.0
H1,4.0,8.8,36.76,47.33,9.0
H1,4.0,9.0,36.0,48.0,9.0
H1,4.0,9.2,36.0,50.4,9.0
H1,4.0,9.4,36.0,51.0,9.0
H1,4.0,9.6,36.0,53.4,9.0
H1,4.0,9.8,36.0,54.0,9.0
H1,4.0,10.0,36.0,56.4,9.0
H1,4.0,10.2,36.0,57.0,9.0
H1,4.0,10.4,36.0,59.4,9.0
H1,4.0,10.6,36.04,59.61,9.0
H1,4.0,10.8,38.44,59.58,9.0
H1,4.0,11.0,40.84,59.55,9.0
H1,4.0,11.2,42.93,59.95,9.0
H1,4.0,11.4,44.75,61.01,9.0
H1,4.0,11.6,46.74,61.76,9.0
H1,4.0,11.8,48.8,62.14,9.0
H1,4.0,12.0,50.72,62.18,9.0
H1,4.0,12.2,52.07,62.02,9.0
H1,4.0,12.4,52.49,61.94,9.0
H1,4.0,12.6,52.41,61.96,9.0
H1,4.0,12.8,52.37,61.97,9.0
H1,4.0,13.0,51.56,64.24,9.0
H1,4.0,13.2,49.68,62.76,9.0
H1,4.0,13.4,47.66,61.97,9.0
H1,4.0,13.6,45.66,61.4,9.0
H1,4.0,13.8,45.25,61.24,9.0
H1,4.0,14.0,45.25,61.24,9.0
H1,4.0,14.2,45.0,63.0,9.0
H1,4.0,14.4,45.0,65.4,9.0
H1,4.0,14.6,45.0,66.0,9.0
H1,4.0,14.8,45.0,68.4,9.0
H1,4.0,15.0,45.0,69.0,9.0
H1,4.0,15.2,45.0,71.4,9.0
H1,4.0,15.4,45.0,72.0,9.0
H1,4.0,15.6,45.0,74.4,9.0
H1,4.0,15.8,45.0,75.0,9.0
H1,4.0,16.0,46.7,76.7,9.0
H1,4.0,16.2,48.0,78.0,9.0
H1,4.0,16.4,49.7,79.7,9.0
H1,4.0,16.6,51.0,81.0,9.0
H1,4.0,16.8,52.7,82.7,9.0
H1,4.0,17.0,54.0,84.0,9.0
H1,4.0,17.2,55.7,85.7,9.0
H1,4.0,17.4,57.0,87.0,9.0
H1,4.0,17.6,57.0,89.4,9.0
H1,4.0,17.8,57.0,90.0,9.0
H1,4.0,18.0,57.0,92.4,9.0
H1,4.0,18.2,57.0,93.0,9.0
H1,4.0,18.4,57.0,95.4,9.0
H1,4.0,18.6,57.0,96.0,9.0
H1,4.0,18.8,55.95,98.09,9.52
H1,4.0,19.0,55.0,100.0,10.0
H1,4.0,19.2,55.0,100.0,10.0
H1,4.0,19.4,55.0,100.0,10.0
H1,4.0,19.6,55.0,100.0,10.0
H1,4.0,19.8,55.0,100.0,10.0
H1,4.0,20.0,55.0,100.0,10.0
H1,4.0,20.2,55.0,100.0,10.0
H1,4.0,20.4,55.0,100.0,10.0
H1,4.0,20.6,55.0,100.0,10.0
H1,4.0,20.8,55.0,100.0,10.0
H1,4.0,21.0,55.0,100.0,10.0
H1,4.0,21.2,55.0,100.0,10.0
H1,4.0,21.4,55.0,100.0,10.0
H1,4.0,21.6,55.0,100.0,10.0
H1,4.0,21.8,55.0,100.0,10.0
